nombre_farmacia,latitud,longitud
FARMACIAS GUADALAJARA,19.40056088,-98.93575172
FARAMACIA EDUARDO DANIEL,19.31966272,-98.93565498
FARMACIA FRAE,19.28762513,-98.93550828
FARMACIA Y CONSULTORIO LA VIGA,17.71377197,-98.93506423
FARMACIA JIMENEZ,19.31037416,-98.93487202
FARMACIAS GUADALAJARA,19.58092532,-98.93265488
FARMACIAS GUADALAJARA,19.27891301,-98.93241957
FARMACIA MI SANADOR,1.94385456,-98.93153902
SUPER TODO MAS FARMACIA,19.58097726,-98.93139064
FARMACIA DE LA CRUZ,19.28118548,-98.93135926
FARMACIA UNIÓN,19.43156838,-98.93125415
FARMACIA KARO,18.86590668,-98.93107842
FARMACIAS BENAVIDES SUC METRO PORTALES CDM,1.92909654,-98.93085381
FARMACIA DEL VALLE,1.94259321,-98.93066372
FARMACIA PRO SALUD,19.27795258,-98.93028097
FARMACIA ALONDRA,18.80933392,-98.93003865
FARMACIA SAN JOSE,18.86541932,-98.92964367
FARMACIAS GUADALAJARA,19.30501117,-98.92942394
FARMACIA ECONOFARMA,19.37618559,-98.92910829
F FT CDMX PORTALES 00351 TM,19.43406543,-98.92897005
FARMACIA SUTEYM,19.27652299,-98.92885251
FARMACIAS DEL MAGISTERIO Y ELCTRODOMESTICOS,19.26956712,-98.92738304
FARMACIA FRAVEL,19.27753164,-98.92738182
FARMACIA SAN JUDAS,19.40008073,-98.92711722
FARMACIAS BENAVIDES SUC UXMAL CDM,18.81808387,-98.92648857
FARMACIA,1.93755405,-98.92641104
FARMACIA DE CRISTO,19.28449355,-98.92606939
FARMACIA MI SALUD,19.95948863,-98.92539224
FARMACIA MEXICO,19.30012174,-98.92386046
DISTRIBUIDORA LESLIE,19.27550519,-98.92368661
FARMACIA NUEVA DE PARIS,18.79931735,-98.92325957
FARMACIA Y ABARROTES DE TODO UN POCO,18.80865353,-98.92300033
FARMACIA GI SAN MARTIN,1.92761483,-98.92239149
FARMACIA FARMA VALLE,19.28608675,-98.92193288
FARMACIA Y CONSULTORIO MEDICO,19.28122524,-98.91956775
FARMACIA UNIVERSAL,19.28551326,-98.91915161
FARMACIAS BENAVIDES SUC SANTA FE PLAZA CDM,19.31124781,-98.91883281
F FT CDMX ZARAGOZA 00357 TM,19.25464208,-98.91764398
FARMACIA Y PERFUMERIA FREDY,1.94097486,-98.91498144
FARMACIA PATTY,19.30691939,-98.91496773
FARMACIA,19.30909022,-98.91486147
FARMACIAS BENAVIDES SUC CAPITOLIO CDM,19.23718553,-98.91474642
FARMACIA MAS AHORRO Y CALIDAD,19.37689897,-98.91456761
GENERICOS AXEL,19.32621535,-98.91301229
MEDEX FARMACIA,20.22028481,-98.91249733
FARMACIA MADRID,19.40554793,-98.91242389
MEDISALUD,19.27325528,-98.91145394
FARMA-MAS,19.76876733,-98.91109543
FARMACIAS BENAVIDES SUC SENDERO SANTA FE CDM,19.53628496,-98.91056463
FARMACIA FARMASI,19.27991381,-98.91055605
FARMACIAS MAS AHORRO Y CALIDAD,19.40400812,-98.91052939
FARMACIA SAN IGNACIO,1.97668676,-98.91034452
FARMACIA SAN ANTONIO GI,19.56131337,-98.91023229
F FT CDMX CHURUBUSCO 00339 TM,19.40378909,-98.90957534
FARMACIA MONSERRAT,17.32508408,-98.90953674
FARMACIA Y ABARROTES SAN MARTIN,19.44190988,-98.90921437
FARMACIA MONSERRAT,19.44196169,-98.90902061
FARMACIA SAN PABLO,1.93818686,-98.90896795
FARMACIA DE DIOS,19.77401241,-98.90894188
FARMACIA ITZEL,19.82986709,-98.90878421
FARMACIAS BENAVIDES SUC CHURUBUSCO CDM,19.40837199,-98.90861042
FARMACIAS GUADALAJARA,19.28585135,-98.90859457
FARMACIA Y REPARADORA DE CELULARES ISLACEL,19.40270274,-98.90811558
FARMACIA HUMANA SUCURSAL ODESA,17.32856759,-98.90785954
VIRIDAY PHARMA,19.39794057,-98.90718817
FARMACIA LARA,21.54057291,-98.90594828
FARMACIA DE JESUS,19.28687099,-98.90560055
FARMACIA CHURUBUSCO,19.29960437,-98.90545272
FARMACIA VIRGO,19.30645679,-98.90496157
FARMACIAS BENAVIDES SUC SINATEL CDM,19.41570647,-98.90481166
FARMACIA BENAVIDES SUC PLAZA LOS OLIVOS MEX,21.15744479,-98.90443097
FARMACIAS GUADALAJARA,24.05163339,-98.90393249
SUPER FARMACIA SERVI EXPRESS,19.82910198,-98.90389475
FARMACIA SALUD FAMILIAR,0.19308935,-98.90359886
FARMACIA SAN MARTIN DE PORRES,19.30783693,-98.90357059
RONAR FARMACEUTICA,19.43248861,-98.90311205
FARMACIA DALI,19.29129481,-98.90267094
FARMACIA SAN VICENTE JR,0.19433148,-98.90261128
FARMACIA PREMIER LAS AGUILAS 1,19.24817958,-98.90252573
FARMACIAS BENAVIDES SUC SANTA FE 505 CDM,19.60519479,-98.90239629
MAS FARMACIA  MEDERIN,19.41657174,-98.90227306
FARMACIA GAVILAN,19.27335139,-98.90223479
FARMACIA GENERICOS,19.31321089,-98.90220146
FARMACIA GI,19.31036332,-98.90156192
FARMACIAS BENAVIDES SUC CENTENARIO CDM,19.41666635,-98.90155106
FARMACIA LAU,19.43029943,-98.90080187
FAMITIENDA,24.05001224,-98.90028804
FARMACIA DE GENERICOS,19.26304934,-98.90007595
FARMACIA JOR FRI,19.31724185,-98.89876384
FARMACON OFICINAS ADMINISTRATIVAS FARMACIAS YZA,19.30280971,-98.89875339
FARMACIAS BENAVIDES SUC PLAZA REAL CUAJIMALPA CDM,19.26090473,-98.89843159
FARMACIAS GUADALAJARA,19.32954196,-98.89831214
FARMACIAS GUADALAJARA,19.27602574,-98.89712039
FARMACIA ATZ,18.94049501,-98.89614921
F FT EDMX LOS REYES 00345 TM,19.40917706,-98.89611543
FARMACIAS GUADALAJARA,19.30512831,-98.89600029
FARMACIA GEMS,19.55574835,-98.89591589
FARMACIA NIÑO DE LA SALUD,19.32429604,-98.89574394
FARMACIA LA PRINCIPAL,19.26282896,-98.89522035
FARMACIA DE LA SALUD,1.94105345,-98.89521265
FARMAIA DE GENERICOS GI,19.55959279,-98.89491214
FARMACIA AGUA CALIENTE,19.27204795,-98.89444629
FARMACIA SEÑOR CHAVEZ,19.26178921,-98.89439085
F FT CDMX PEGASO 00465 TM,19.56263275,-98.89402869
FARMACIA ARIES,19.50663579,-98.89309711
FARMACIA AZTAHUACAN,19.50181153,-98.89229134
SALUD PARA TODOS SUC 150 PRURISIMA DD,19.30129405,-98.89169888
FARMACIAS BENAVIDES SUC PLAZA INN CDM,19.25843334,-98.89157733
MULTIFARMACIAS GENERICO,19.25833224,-98.89136674
FARMACIA PERFUMERIA Y REGALOS SANCHEZ,19.25795918,-98.89127485
FARMACIA Y ABARROTES SANTA MARIA,18.93194245,-98.89002125
FARMACIA NUEVA DE DIOS,19.51873186,-98.88863922
FARMACIA RAFAEL,19.31568253,-98.88808043
FARMACIAS EL FENIX SUC 120 AYUNTAMIENTO CENTRO,19.50888443,-98.88807919
FARMACIA Y CONSULTORIO DE MEDICINA GENERAL SAN FRANCISCO,19.31400884,-98.88795548
FARMACIA CEMS CAROLINA,21.66603643,-98.88606271
MULTIFARMA,19.42895576,-98.88558352
FARMACIA PRIMAVERA,19.31612497,-98.88478334
FARMACIA Y MINI SUPER GRAN BIO SHOP 360,19.51009641,-98.88441901
FARMAPRONTO,19.41793849,-98.88426395
FARMACIA DE DIOS,19.31599426,-98.88410652
FARMACIA MENA,19.41285591,-98.88397975
FARMACIAS GUADALAJARA,19.47234287,-98.88363307
FARMACIA DE LA MUJER GI,19.10162164,-98.88303098
FARMACIA CRISTO MEDICO,19.31558638,-98.88298209
FARMACIA ESTRELLA,19.31470367,-98.88279647
FARMACIAS GUADALAJARA,19.31557426,-98.88277298
FARMACIA CONSTITUCION,19.42345295,-98.88240457
FARMACIAS BENAVIDES SUC IRLANDA CDM,19.51365658,-98.88209191
FARMACIA Y ABARROTES QUIROZ,19.55020543,-98.88195662
FARMACIA LA FARMACIA,19.45353453,-98.88128712
FARMACIA SAGRADO CORAZON,19.51265265,-98.88083981
FARMACIA DE GENERICOS,19.51930921,-98.88028649
FARMACIA LA VIRGEN,19.47182724,-98.87937933
FARMACIA ANDY,19.55286451,-98.87935146
FARMACIA CRISTO MEDICO,21.43721083,-98.87657257
FARMACIA VIDA Y SALUD,19.32460938,-98.87617792
FARMACIA FARMADEPTO,21.43798425,-98.87536265
FARMACIA YZA,19.66921937,-98.87315104
PHARMA OPCIONES,19.50521308,-98.87271663
FARMACIA SAGRADO CORAZON,19.68707151,-98.87266967
FARMACIA VERDUX,19.99017203,-98.87241316
FARMACIA URIEL CON GENERICOS,19.50997597,-98.87062238
SUPER Y FARMACIA CRISTO,19.68617162,-98.86832233
FARMACIA POLARIS,19.68613213,-98.86811072
FARMACIA SAGRADO CORAZON DE JESUS,19.23000426,-98.86795934
FARMACIA MULTIGENERICOS,1.96824029,-98.86377205
MULTIFARMACIAS DE DESCUENTO,19.34375571,-98.86240149
FARMACIA IRIS II,1.88773358,-98.86238134
FARMACIA DE JESUS,19.97694566,-98.86215456
FARMACIAS BENAVIDES SUC PLAZA OASIS CDM,19.88335418,-98.86173738
FARMACIA Y ORTOPEDIA,19.15365762,-98.86055257
FARMACIA DE JESUS,19.15474161,-98.86013312
FARMACIA LUPITA,19.23490307,-98.85828236
FARMACIAS LINEA DE VIDA,19.30943444,-98.85500453
FARMACIA G3 16,19.34550362,-98.85221619
SIFAR SUR,19.58031302,-98.84975511
FARMACIA PARIS,19.34709407,-98.84971014
FARMACIA UNION CAMPESTRE,19.34498867,-98.84878465
FARMACIAS GUADALAJARA,18.87974836,-98.84874787
FARMACIA DEL EJE SUC. SANTA MARTHA,19.34487546,-98.84851599
FARMACIA TU SALUD ES PRIMERO,19.58110843,-98.84842263
FARMACIA DE GENERICOS KISOLAC,0.19262247,-98.84761931
FARMACIA DE GENERICOS DE MARCA,19.24186246,-98.84512354
FARMACIA VALUGA,18.32119382,-98.84490467
FARMACIA UNION,18.32174354,-98.84481073
FARMACIA BERLIN,20.02716702,-98.84343309
DE FARMACIA,2.00192853,-98.84336074
FARMACIA OROSCO,19.70527449,-98.83695209
FARMACIA NUEVA,19.70106817,-98.83640618
FARMATIENDA,26.31575075,-98.83560958
FARMACIA LAS PALMAS,26.31639673,-98.83548317
FARMAGOLD,19.70491281,-98.83546859
FARMACIA ITZURI,19.70413383,-98.83514455
FARMACIA ABC,1.85240084,-98.83174038
FARAMACIA DE MAR,19.70158614,-98.83111288
FARMACIA SANTO NIÑO DE ATOCHA,20.78212123,-98.82777947
FARMACIA ROBLES,19.49153179,-98.82648983
FARMACIA PROGRESO TIZAPAN,19.48125151,-98.82605486
FARMACIAS BENAVIDES SUC TAXQUEÑA CDM,21.32871929,-98.81944671
FARMACIA BALAM,1.88834576,-98.81903584
FARMACIA DE GENERICOS,19.87948085,-98.81796803
FARMACIA SAN ISIDRO,19.02635476,-98.81776834
FARMACIAS GUADALAJARA,16.58261004,-98.81589616
FARMACIA SAN AGUSTIN,16.58227443,-98.81486025
FARMACIA SAN ISIDRO,19.89064023,-98.80562208
FARMACIA DEL VALLE GI,18.67964467,-98.80384153
FARMACIA JIMENEZ,18.68106087,-98.80258213
SUPER FARMA BARRIGA MUÑOZ,20.05984141,-98.80228418
FARMACIAS BENAVIDES SUC TINAJAS CDM,20.05789416,-98.79803779
FARMACITY,19.03810424,-98.79619482
CONSULTORIO Y FARMACIA DE GENERICOS,18.72233227,-98.79447671
FARMACIA TAXQUEÑA,20.07288224,-98.79247018
YZA FARMACIAS,21.26215201,-98.79198397
F FT CDMX CULHUACAN 00343 TM,21.26138961,-98.79116305
F FT CDMX M ANGEL 00376 TM,21.26338091,-98.79107627
FARMACIA JARA,20.05012612,-98.79086941
FARMACIA ERIKA,19.72632758,-98.79079779
FARMACIA LIDO,21.26220091,-98.79055678
FARMACIA DIBARDI,20.06589714,-98.79013468
FARMACIA MIRAVALLE,21.26035516,-98.78886401
FARMACIA LA MAS SURTIDA,21.25926798,-98.78835723
FARMACIA Y REGALOS LA BONITA,2.00876635,-98.78821713
FARMACIA SAN ISIDRO,20.02793566,-98.78748602
SUOER FARMACIA ELEDANI,21.25674786,-98.78624433
FARMACIA GUADALAJARA,20.10738909,-98.78441533
FARMACIA VERO,20.11861508,-98.78296824
FARMACIA DE GENERICOS ALE,2.00647023,-98.78122961
LA FARMA,17.42432876,-98.78099025
FARMACIA DE GENERICOS EL ZAPOTE,20.09714949,-98.77853919
FARMACIA FARMAZUL,20.13117998,-98.77653228
FARMACIA LOS REYES,18.87660474,-98.77550056
FARMACIA CRISTO REY,22.00362586,-98.77506545
FARMACIA KAREN,18.87907824,-98.77452297
TIZITL FARMACIA,20.09682989,-98.77419976
FARMACIA GENERICOS DRA SIMI,20.13177842,-98.77340609
FARMACIA LA NAVAL,20.05964195,-98.77221532
FARMACIA MARILU,19.12795295,-98.76979814
FARMACIAS FARMACON SUC SEYBAPLAYA,19.12651344,-98.76943782
FARMACIA DE GENERICOS SARE,20.59040172,-98.76937502
FARMACIA DE JESUS,21.24968123,-98.76873853
MAS FARMACIA SUCURSAL ELVIRA,0.20058978,-98.76419876
FARMACIA EL SR. DE LA VIDA,20.59281921,-98.76288005
MULTIFARMACIAS DE DESCUENTO SUC AZTECAS,19.70051769,-98.76031442
FARMACIA SANTA ANITA,20.12469931,-98.75900242
FARMA PLAZA,18.45269578,-98.75762796
FARMACIA DE GENERICOS FATIMA,20.10697219,-98.75549361
FARMACIA DE GENERICOS SIN NOMBRE,1.97009422,-98.75493539
FARMACIA SAN MIGUEL,20.12874228,-98.75480065
FARMACIA ALEX,1.85034738,-98.75397011
FARMACIA LIZBETH,18.50321769,-98.75376105
FARMACIA SALUD,20.11340146,-98.75302382
FARMACIA FARMAPRONTO,20.11333657,-98.75286082
FARMACIA NPHARMAPRIME,18.50079449,-98.75092971
FARMACIA Y MEDICAMENTOS PARA TODOS,18.50335478,-98.74997386
CONSULTORIO MEDICO MAS SALUD,18.50057631,-98.74968786
FARMACIA SAN JUAN,20.12748508,-98.74885102
FARMACIA DR SIMI,20.12596018,-98.74520467
FARMACIA DE DESCUENTO POTRERO,20.12641569,-98.74408198
FARMACIAS GUADALAJARA,20.11915625,-98.74246337
FARMACIA SIMILARES,18.95916378,-98.74157469
FARMACIA NICOLAS,17.77819645,-98.73867937
SUPER FARMACIA SAN RAFAEL,0.16810573,-98.73734688
F FT CDMX MAGDLENA 00383 TM,16.80845894,-98.73625434
FARMACIA XOCHIAC,16.80900107,-98.73613533
FARMACIA DE AHORRO SAN AGUSTIN,20.12674253,-98.73550427
FARMACIA SAN FRANCISCO,20.06920038,-98.73313001
FARMACIA TONALLI,20.06915903,-98.73307673
FARMACIA ATARASQUILLO,2.01261365,-98.73191214
FARMACIA DE GENERICOS,20.11813718,-98.73173618
FARMACIA MODULO HMG FARMATODO,20.12867633,-98.73173471
FARMACIA SANTA ROSA,20.12790899,-98.73147357
FARMACIA FARMASI,20.07876047,-98.73139234
FARMACIA CRIS S,20.04349384,-98.73130183
FARMACIA LUIS,18.89047507,-98.73022752
FARMACIA MAXI FARMA,18.89346344,-98.73020776
FARMACIA SUSTANCIAS ACTIVAS,20.11651701,-98.73012977
FARMACIA SARAI,20.13110576,-98.72996705
FARMACIA Y ABARROTERIA LOS FRESNOS,18.89291457,-98.72896294
FARMACIA SAN JOSE,21.40243678,-98.72743828
FARMACÍA FANTASIS,21.40096199,-98.72735804
FARMACIA FARMAPRONTO,18.89138096,-98.72545214
FARMADIEZ,20.11679507,-98.72506929
FARMACIA Y CONSULTORIO MEDICO ZURI,20.10698268,-98.72473544
FARMACIA Y MINISUPER GI,20.11043243,-98.72238113
TELCEL Y FARMACIA EL ROSARIO,20.11708458,-98.72081612
FARMACIA ECONOFARMA,20.10087342,-98.71948996
FARMACIAS GI,20.06386075,-98.71755932
FARMACIA NANCY ZAFIRO,20.11476201,-98.71420854
FARMACIA DEL CENTRO,20.09055804,-98.71397475
FARMACIA Y REGALOS FLORES,20.10029692,-98.70971492
FARMACIA FARMAJAEL,1.97803014,-98.70805812
FARMACIA JUAN PABLO II,18.02670542,-98.69602845
FARMACIA UNION MIRAMONTES,20.07212658,-98.69589067
FARMACIA COSMOS,18.37526859,-98.69064836
FARMACIAS GUADALAJARA,18.88741766,-98.68978783
FARMACIA CRUZ LINO,17.04450306,-98.68652024
FARMACIAS FARMAHORRO,21.20785854,-98.67143461
FARMACIA JACQUELINE,20.28687484,-98.66958072
VANGUARDIA FARMACEUTICA,20.28858305,-98.66739815
LONJA MERCANTIL SAN JOSE,21.60241713,-98.66671631
VENTA DE MEDICAMENTO Y ABARROTE SERVIFARMA,20.66321844,-98.66489596
FARMACIAS BENAVIDES SUC LOMAS ESTRELLA CDM,0.21371031,-98.66207826
FARMACIA JESUS Y SAN JUAN,20.28256176,-98.66192606
F FT CDMX TLAHUAC 00361 TM,18.48352982,-98.66133217
FARMACIA JANNET,21.16560671,-98.66100623
FARMACIA VIVESALUD,20.64879591,-98.65782399
FARMACIA SANTIAGUITO,21.37039163,-98.65490869
FARMACIA DANNA PAOLA,19.60063772,-98.65100925
FARMACIA DE GENERICOS ALEX,2.01689265,-98.64925338
FARMACIA MONSERRAT,16.79834095,-98.64079689
GENERIFARMA,16.79857287,-98.63992192
FARMACIA GENERICOS DE MEXICO,2.05322634,-98.63703511
FAMACIA SAN JOSE,16.62829081,-98.63612785
FARMACIAS GUADALAJARA,16.62939468,-98.63495327
FARMACIA EL ANGEL,20.72725293,-98.63456905
FARMACIA REJJIZ,18.31344174,-98.61747309
FARMACIAS DE MULTIGENERICOS,21.17162918,-98.60852462
FARMACIAS GUADALAJARA,21.16858034,-98.60834183
FARMACIA ALCALA,21.17196773,-98.60701646
FARMACIA SANCHEZ,2.11713521,-98.60663776
FARMACIA SALUD FARMA,1.67333459,-98.60072673
FARMACIA SIN NOMBRE,16.73254459,-98.59950834
FARMACIA SIN NOMBRE,2.62316982,-98.59631101
FARMACIAS GUADALAJARA,26.23163633,-98.59627706
FARMACIAS DE LA SALUD MEDICAMENTOS GENERICOS,26.23013415,-98.59572188
FARMACIA JUAREZ,26.23063244,-98.59473592
FARMACIAS EL ROSARIO,26.22837624,-98.59452105
FARMACIA DERMATOLOGICA ISIS,17.54011433,-98.58981312
FARMACIA NEFROPOLIS,21.71569451,-98.58611581
FARMACIA MEDIFARMA,21.10386652,-98.58516221
FARMACIA EL RETORNO,17.54694141,-98.58231588
FARMACLI,17.54435633,-98.58168204
FARMACIAS GUADALAJARA,19.33131312,-98.58126002
FARMACIA GI,19.77721113,-98.58009891
FARMACIA SAN CARLOS,19.77718467,-98.57947656
FARMACIA DE JESUS,19.76646831,-98.57629411
FARMACIA PLAZA PEDREGAL,18.89089623,-98.57127211
FARMACIA SAN REFAEL,19.77391489,-98.57024528
FARMACIAS GUADALAJARA,19.77384663,-98.57021096
FARMACIA SAN  FELIPE,19.58893897,-98.56967185
FARMACIA DEL MERCADO FARMAPRONTO,17.80124957,-98.56576936
FARMAPRONTO,17.79951329,-98.56561839
FARMACIA Y CONSULTORIO SAN CARLOS,17.81125126,-98.56231674
FARMACIA FARMAHORRO,19.29273912,-98.54412758
FARMACIA KIMBERLY,19.29162475,-98.53905393
FARMACIA DE LA LUZ TEPETLAPA,21.13396516,-98.53853276
FARMACIA Y CONSULTORIO SANDOVAL,21.13330372,-98.53824484
FARMACIA RAFA,21.13512071,-98.53774665
FARMACIA RENATO,19.49263055,-98.53751733
FARMACIAS GUADALAJARA,21.13555246,-98.53747567
FARMACIA FAMAHORRO,21.13443517,-98.53679246
FARMACIAS GUADALAJARA,18.69561985,-98.53602667
FARMACIA LIBRA,1.86949321,-98.53593417
FARMACIAS GUADALAJARA,18.69710439,-98.53551962
FARMACIA CON ABARROTES LA PRINCESA LINA,16.41780129,-98.51726934
FARMACIA SAN ANGEL,16.41626336,-98.51662907
FARMACIA,19.26928382,-98.51521332
FARMACIA DE GENERICOS SANTA BARBARA,19.26948391,-98.51354896
FARMACIA EQUIVALENTES GENERICOS SIMILIARES Y PATENTE SIN NOMBRE,21.05239376,-98.50992625
FARMACIA FARMAVILLAS,21.05293336,-98.50808306
FARMACIAS GUADALAJARA,21.05290176,-98.50804724
FARMEX,20.98060486,-98.50802976
FARMACIA CRISTAL,21.05309922,-98.50770788
F FT CDMX MIRAMONTES 00353 TM,20.97809738,-98.50673582
FARMACIA FARMA PRONTO,19.26567777,-98.50361323
FARMACIA FARMAPRONTO,18.55122378,-98.50203443
FARMACIA,19.32208691,-98.49911685
FARMACIA LOS ARCOS,19.26279747,-98.49841347
FARMACIA ULTRA PARMA,18.74651599,-98.49248603
FARMACIAS BENAVIDES SUC SANTA TERESA CDM,18.75009521,-98.49143851
FARMACIA RIVERA 1,18.75007631,-98.48985516
FARMACIA MANELI,17.90568435,-98.48734184
FARMA YOIS,19.07440809,-98.48516057
FARMACIA NAYELY,19.30894708,-98.47818174
FARMACIAS GUADALAJARA,19.30764422,-98.47462262
FARMACIA SAN DIEGO,18.60287956,-98.47317444
FARMACIA EL CARMEN,18.59337257,-98.47311869
FARMACIAS DEL EJE SUCURSAL AZUL,18.62595679,-98.47059452
FARMACIA LOS ÁNGELES MON,1.86009991,-98.46699814
FARMACIA RA8MA,18.60024211,-98.46692549
FARMACIA ROSARIO,18.60200416,-98.46683854
FARMACIA GUADALAJARA,18.60320722,-98.46588853
FARMACIAS GUADALAJARA,19.10561454,-98.46536839
FARMACIAS GUADALAJARA,19.10053054,-98.46469988
FARMACIA PIRAMIDE,18.59995877,-98.46400831
FARMACIA SAN JORGE,18.59851025,-98.46176968
FARMACIA CRISTO,17.19438521,-98.45871486
FARMACIA FARMA PRONTO,19.14229959,-98.45664124
AS FARMACIA Y MINISUPER,19.29157068,-98.45458748
FARMACIA SAN MIGUEL,18.91078399,-98.45368022
FARMACIA VICTORIA,19.29400601,-98.45245635
FARMACIA SAN DIEGO,1.92913184,-98.45185788
FARMACIAS GUADALAJARA,18.58878769,-98.45168288
FARMACIA MERCURIO,19.70796488,-98.45130547
FARMACIA JOSE ANTONIO,19.30340549,-98.45078514
FARMA JESS,18.90242314,-98.44425088
FARMACIA ELI,18.04748379,-98.44126143
FARMACIA GENESIS,18.90462644,-98.43957929
FARMACIA MONVER,19.28526525,-98.43839552
FARMACIA MIRANDA,18.89265487,-98.43768876
FARMACIA DE GENERICOS,18.90388685,-98.43653849
FARMACIA SAN ISIDRO COAPA,19.28238089,-98.43523099
FARMACIA ITZEL,18.90363987,-98.43349954
FARMACIA DE LA SALUD,16.68938678,-98.43326188
FARMACIA CAPRICORNIO,16.68988282,-98.43292393
FARMACIA,19.28139355,-98.43278986
A MENARINI MEXICO,19.27633009,-98.43122894
FARMACIA SAN JUAN,19.28485903,-98.43064455
FARMACIA LORA,22.82401291,-98.42970299
FARMACIA SANTA ROSA,18.89482065,-98.42902401
FARMACIA DE LA CRUZ,18.91990073,-98.42581069
SIFAR COAPA,18.90741601,-98.42473644
FARMACIA SAN MIGUEL,2.11376107,-98.42234296
FARMA PRONTO,21.13959872,-98.42167936
FARMACIA CRISTO REY,21.13909366,-98.42046666
FARMACIA TLACOPA,16.47182302,-98.41994811
FARMACIA GI,21.14344279,-98.41968001
FARMA-SANA,21.14269286,-98.41859564
FARMACIA ECOFARM,21.14415387,-98.41697927
FARMA CLIK,20.11404253,-98.41654891
FARMACIA DE LA ROSA,16.47100955,-98.41592215
FARMA VITA,16.47169976,-98.41580936
FARMACIA DE JESUS,1.64706135,-98.41440888
FARMACIA JARDINES,16.69285237,-98.41385924
DIVINE SKINE LABORATORIES,2.60563691,-98.41165297
FARMACIA CON MINISUPER SAN CRISTOBAL,21.13778004,-98.41009937
FARMACIA SIN NOMBRE,19.15747062,-98.40830556
FARMACIA TONY,19.15744593,-98.40823537
FARMACIA ANGY,26.02291783,-98.40762663
FARMACIA NELDA,17.19669633,-98.40667019
FARMACIA SAN PABLO,17.19748299,-98.40666579
FARMACIA SAN JORGE,19.15884315,-98.40634688
FARMACIAS BENAVIDES SUC CAMINO AL AJUSCO CDM,17.19363936,-98.40569553
FARMACIA LUNA,16.68524787,-98.40504801
FARMACIAS GUADALAJARA,16.46908176,-98.40494975
FARMACIA HORUS,16.68575378,-98.40488172
FARMACIA ALEJANDRA,16.68634621,-98.40486388
FARMACIA ANGELES,16.68747394,-98.40392091
MEDICINAS OTC,18.93555473,-98.40349543
FARMACIA ANGELES,19.01474925,-98.39998146
FARMACIAS BENAVIDES SUC GRANJAS COAPAS CDM,26.03246173,-98.39936886
FARMACIAS GUADALAJARA,16.69015792,-98.39932078
FARMACIA G.I.,16.69016726,-98.39930483
FARMACIA ARIO,26.03227772,-98.39882498
FARMACIA MARQUEZ,26.00801317,-98.39732857
FARMACIA EL NIÑO DOCTOR,21.51924591,-98.39530828
FARMARCIA BILK,21.52073036,-98.39519563
FARMACIA SAN PABLO,21.52046313,-98.39445644
FARMACIA DEL EJE SUCURSAL YOLI,2.15204449,-98.39441331
FARMACIA FUEGO,26.03575491,-98.39182078
FARMACIAS BENAVIDES SUC PASEO ACOXPA CDM,26.03558426,-98.39164663
FARMACIA SANAFARMA,20.07256921,-98.39113016
FARMACIAS GUADALAJARA,21.51768612,-98.38739115
FARMACIAS GUADALAJARA,1.92088359,-98.38433633
FARMACIA FARMAPRONTO,17.46343244,-98.38355633
FARMACIA SAN NICOLAS,2.60362904,-98.38253139
FARMACIA SURTIFARMA,1.92073628,-98.38250559
FARMACIA SAN PEDRO,19.21023809,-98.38106984
FARMACIA FARMAPRONTO CRISTO REY,19.32449565,-98.38031763
FARMACIAS GUADALAJARA,19.32451795,-98.37957939
FARRAM,26.06217019,-98.37955465
FARMACIA GUADALAJARA,19.26774973,-98.37916692
FARMACIAS GUADALAJARA,26.05179489,-98.37893694
FARMACIA SALUD Y VIDA,19.20883616,-98.37842564
PERFUMERIA Y MEDICAMENTOS POPULAR,19.32669459,-98.37661326
FARMACIAS RUJIDI,19.30834258,-98.37596785
FARMACIA Y ABARROTES LA TURBA,19.32672494,-98.37592373
FARMACIA NICE,22.21262307,-98.37560648
FARMACIA ISIS,2.40561342,-98.37539816
FARMACIA DEL CARMEN,24.05904702,-98.37439127
FARMACIA 24 HORAS,2.12730714,-98.37392212
FARMACIA SANTA FE,2.00840548,-98.37365085
FARMACIAS GUADALAJARA,21.27346972,-98.37275901
FARMACIAS GUADALAJARA SUCURSAL 1889,20.07735303,-98.37202814
FARMACIAS GUADALAJARA,19.24725483,-98.37083313
FARMACIA TOBI,20.07950275,-98.36880613
F FT CDMX HOSPITALES 00347 TM,20.09171808,-98.36660522
FARMACIAS GUADALAJARA,20.08073169,-98.36660007
FARMACIA BETY,26.05414145,-98.36648488
FARMACIA CRISTO REY DE LA SALUD,20.07452286,-98.36628781
FARMACIA GUADALAJARA,20.07778271,-98.36610659
FARMACIAS GUADALAJARA,20.08414768,-98.36564777
FARMACIAS BENAVIDES SUC 0828 SAN FERNANDO CDM,20.07520418,-98.36541032
FARMACIA GYG Y MINISUPER,20.08640807,-98.36500605
FARMACIA ALUD Y BIENESTAR,20.08224164,-98.36479152
FARMACIA MICHELLE,26.08159824,-98.36376764
FARMACIA NUESTRA SEÑORA DE LA NATIVIDAD,26.03812729,-98.36192968
FARMACIA GUADALAJARA,20.08282002,-98.36080157
FARMACIA DEL CARMEN,26.06960526,-98.35992048
TIENDA DE ABARROTES Y FARMACIA FARMATELL,20.03136352,-98.35912186
FARMACIAS BENAVIDES SUC 1 DE MAYO MEX,20.08890945,-98.35806291
FARMACIA LA LUZ,26.07884447,-98.35777172
FARMANGEL,20.09251163,-98.35776604
