nombre_hospital,latitud,longitud,
UNIDAD MEDICA RURAL. UMR 182 SAN ANTONIO TEPETLAPA,24.81562943,-107.3957831,
UNIDAD MEDICA URBANA TUXTEPEC 1,24.59191777,-107.3944683,
UNIDAD MEDICO RURAL SAN AGUSTIN,24.79364819,-107.3943393,
UNIDAD MEDICO URBANA,24.8067743,-107.3924189,
VESALIUS CENTRO MEDICO QUIRURGICO,24.8067743,-107.3924189,
CASA DE LA SALUD,24.80845481,-107.3920349,
CENTRO DE ATENCION PRIMARIA EN ADICCIONES CLAVE NTSSA015483 DE TUXPAN NAYARIT,24.80400957,-107.3911412,
CENTRO ESTATAL DE CANCEROLOGIA,24.82455808,-107.3901097,
CENTRO MEDICO PUERTA DE HIERRO TEPIC,24.81722042,-107.3900977,
CENTRO MEDICO QUIRURGICO ALEDA,24.82436573,-107.3900539,
CENTRO MEDICO QUIRURGICO ALEDA,24.7975264,-107.3896738,
CENTRO QUIRURGICO SAN RAFAEL,24.79460519,-107.3864651,
CENTRO QUIRURGICO TEPIC,24.80725548,-107.3854289,
CLINICA DE MEDICINA FAMILIAR DOCTOR JOAQUIN CANOVAS PUCHADES,24.80730326,-107.3847818,
CLINICA RENTERIA,24.80666256,-107.3843188,
CLINICA SANTA MARIA,29.17902375,-107.3828269,
CONSULTORIO DE GINECOLOGIA Y OBSTETRICIA,24.80552525,-107.3797664,
CONSULTORIO GINECOLOGICO,24.76612367,-107.377772,
CONSULTORIO MEDICO,24.78863617,-107.3763541,
COORDINACION MEDICA MUNICIPAL AMATLAN DE CA?AS,24.79624552,-107.375852,
CRUZ ROJA MEXICANA,24.79624058,-107.375849,
CRUZ ROJA MEXICANA IAP,24.79133643,-107.3734453,
ESTACIONAMIENTO SIN NOMBRE,24.31204256,-107.3640924,
HOSPITAL B?SICO COMUNITARIO DE COMPOSTELA,24.32441894,-107.3616861,
HOSPITAL BASICO COMUNITARIO LAS VARAS,24.7849969,-107.3615761,
HOSPITAL BASICO COMUNITARIO PUENTE DE CAMOTLAN,24.32774241,-107.3606852,
HOSPITAL BASICO COMUNITARIO TECUALA,28.47673717,-107.3217907,
HOSPITAL CIVIL DOCTOR ANTONIO GONZALEZ GUEVARA,26.43045077,-107.2619383,
HOSPITAL CMQ RIVIERA NAYARIT,24.42125425,-107.2173571,
HOSPITAL DE ESPECIALIDADES PUERTA DE HIERRO TEPIC,24.42619818,-107.2129631,
HOSPITAL GENERAL DE SUBZONA NUMERO 6,24.29152333,-107.1505815,
HOSPITAL GENERAL MIXTO DE JESUS MARIA,26.81881357,-107.0789323,
HOSPITAL GENERAL ROSAMORADA,26.81708664,-107.072293,
HOSPITAL GENERAL SAN FRANCISCO,26.82358122,-107.071164,
HOSPITAL GENERAL SANTIAGO,28.77320744,-107.0103505,
HOSPITAL INTEGRAL B?SICO COMUNITARIO DE IXTLAN DEL RIO NAY,24.97231859,-106.9673333,
HOSPITAL INTEGRAL COMUNITARIO,29.94334432,-106.9639181,
HOSPITAL INTEGRAL DE ACAPONETA,29.94189081,-106.9559536,
HOSPITAL MEDIC AIR,26.08157217,-106.9514366,
HOSPITAL PREMIUM HILLS,26.07757659,-106.9510346,
HOSPITAL PUEBLO NUEVO,28.4544758,-106.913041,
HOSPITAL RURAL 22 IMSS BIENESTAR,23.92428549,-106.88332,
HOSPITAL SAINT LUKES,23.92428089,-106.8833067,
HOSPITAL TONDOROQUE,23.93277456,-106.8752046,
HOSPITALES GENERALES DEL SECTOR PRIVADO,28.4167293,-106.8710148,
IMSS,28.40425906,-106.8693742,
INSTITUTO DE SEGURIDAD SOCIAL AL SERVICIO DE LOS TRABAJADORES DEL ESTADO,28.40443216,-106.8663698,
INSTITUTO DE SEGURIDAD SOCIAL PARA EL SERVICIO DE LOS TRABAJADORES DEL ESTADO DE NAYARIT,28.41233189,-106.8598323,
INSTITUTO DE SEGURIDAD Y SERVICIO SOCIAL PARA LOS TRABAJADORES DEL ESTADO,28.40202213,-106.854508,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJDORES DEL ESTADO,28.40534188,-106.8532068,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,28.4067376,-106.8495036,
INSTITUTO MEXICANO DEL SEGURO SOCIAL HOSPITAL GENERAL DE ZONA N 1,28.41551096,-106.8412793,
INSTITUTO MEXICANO DEL SEGURO SOCIAL IMSS,28.48008246,-106.7418332,
INSTITUTO MEXICANO DEL SEGURO SOCIAL IMSS,28.47739294,-106.7336079,
ISTITUTO DE SEGURIDAD SOCIAL AL SERVICIO DE LOS TRABAJADORES DEL ESTADO,28.47739038,-106.7336065,
ISTUTUTO DEL SEGURO SOCIAL,28.47738819,-106.7336054,
LA CRUZ CENTRO TOMOGRAFICO,28.47738526,-106.7336038,
MULTIMEDICA SUR,28.47738085,-106.7336015,
PUNTA MITA HOSPITAL,28.47737829,-106.7336002,
SANATORIO DE LA LOMA,28.47737573,-106.7335988,
SANATORIO GUADALUPE,28.47736969,-106.7335957,
SANATORIO GUADALUPE,28.47736621,-106.7335938,
SANATORIO NAVAL DE SAN BLAS,28.47736109,-106.7335912,
SERVICIO DE URGENCIAS HOSPITAL COMUNITARIO TUXPAN,28.47736016,-106.7335907,
SERVICIOS DE SALUD DE NAYARIT UNIDAD 2 DE AGOSTO,28.4773576,-106.7335893,
SERVICOS DE SALUD DE NAYARIT,28.47735504,-106.733588,
UNIDAD AUXILIAR DE MEDICINA FAMILIAR NUMERO 25,28.47735156,-106.7335862,
UNIDAD BASICA DE REABILITACION,28.47734552,-106.733583,
UNIDAD DE CONSULTA EXTERNA HUAJICORI,27.47233809,-106.7329096,
UNIDAD MEDICA DE SALUD DE MEZCALEZ,24.41300069,-106.695641,
UNIDAD MEDICA FAMILIAR NO 27 DE SAN JOSE DEL VALLE NAYARIT,27.9026723,-106.6844778,
UNIDAD MEDICA RURAL,30.60999452,-106.5103054,
UNIDAD MEDICA RURAL NO.68,31.73652345,-106.5090088,
UNIDAD M?DICA RURAL N?MERO 71 COASTECOMATILLO,31.73394733,-106.4885276,
ADMINISTRACION TORRE MEDICA CAMPESTRE I,31.74543981,-106.4833887,
ASESORIA PERICIAL INTEGRAL,28.15550463,-106.4786538,
BULGOGS VETERINARIA,31.71727952,-106.4724229,
CAISES,23.26482649,-106.4651888,
CAISES ABASOLO,31.73421293,-106.4646875,
CAISES CENTRO DE ATENCION INTEGRAL DEL SECTOR SALUD,31.70240493,-106.4644195,
CAISES CORTAZAR,31.74364989,-106.4630242,
CAISES LA LOMA,31.73904971,-106.458555,
CAISES PURISIMA DEL JARDIN,31.74991389,-106.4580247,
CAISES PUR?SIMA DEL RINCON,31.73767431,-106.4562164,
CAISES SAN CARLOS DE ROMO,31.74597964,-106.4554296,
CAISES SAN MIGUEL OCTOPAN,23.24800029,-106.4544545,
CAISES SILAO HOSPITAL,31.73712909,-106.4529815,
CAISES YURIRA,31.72631373,-106.4505904,
CENTRO DE ATENCION INTEGRAL DE SERVICIOS ESCENCIALES DE SALUD DE URIANGATO,31.74063578,-106.4500963,
CENTRO DE ESPECIALIDADES MEDICAS DE CELAYA,31.74268243,-106.4484891,
CENTRO DE SALUD,31.74130918,-106.4473724,
CENTRO DE SALUD CON SERVICIOS AMPLIADOS CESSA OCAMPO,31.7315855,-106.4471136,
CENTRO DE SALUD CON SERVICIOS AMPLIADOS CUERAMARO,23.24373719,-106.4462481,
CENTRO DE SEGURIDAD SOCIAL,23.27253359,-106.4462014,
CENTRO DE SERVICIOS INTEGRALES DE SALUD,31.73167261,-106.4458318,
CENTRO DE TOMOGRAFIA DENTRO DEL HOSPITAL ARANDA DE LA PARRA,23.27106865,-106.4454694,
CENTRO ESTATAL DE CUIDADOS CRITICOS SALAMANCA,23.25959333,-106.4428452,
CENTRO HOSPITALARIO MAC,31.72565881,-106.4423598,
CENTRO MEDICO,23.24340756,-106.4414732,
CENTRO MEDICO APASEO,23.24173159,-106.4410743,
CENTRO MEDICO CAMINO VIEJO,31.67705838,-106.4382102,
CENTRO MEDICO DOBLADENSE,31.70570603,-106.4361938,
CENTRO MEDICO GUADALUPANO,23.23949187,-106.4307215,
CENTRO MEDICO GUADALUPANO,23.9409893,-106.4306465,
CENTRO MEDICO IRAPUATO,23.24725279,-106.4283156,
CENTRO MEDICO LA PRESA,31.75070895,-106.4263781,
CENTRO MEDICO QUIRURGICO DE CELAYA,23.23377673,-106.4253093,
CENTRO MEDICO SAN MIGUEL,31.6716534,-106.4250455,
CENTRO M?DICO SANTO DOMINGO,23.19537542,-106.4250412,
CENTRO UMAPS SAN ANTONIO EL RICO,23.23556798,-106.4248629,
CLINICA BEATRIZ VELAZCO,31.65921409,-106.424652,
CLINICA CENTRO HOLISTICO ALKIMIA,23.20409267,-106.4244298,
CLINICA CER,23.94452584,-106.423568,
CLINICA DE CIRUGIA PLASTICA Y ESTETICA,23.23328273,-106.4232268,
CL?NICA DE DIAGNOSTICO,23.20390954,-106.4223151,
CLINICA DE ESPECIALIDADES NTRA SRA LA LUZ,23.22737699,-106.4217711,
CLINICA DE ESPECIALIDADES SAN FELIPE,31.71442755,-106.4201411,
CLINICA DE ESPECIALIDADES SANTA MARIA,23.25183959,-106.4200807,
CL?NICA DE ESPECIALIDADES SANTA MAR?A,23.25266958,-106.4194669,
CLINICA DE SALUD HOSPITALIZACI?N ACTOS QUIR?RGICOS U OBSTETR?COS SANTA ISABEL,31.66506027,-106.41214,
CLINICA DEL IMSS NO 53,31.68397232,-106.4070875,
CLINICA DEL PARQUE,31.68478166,-106.4068759,
CLINICA GINECOLOGICA Y PEDIATRICA DEL BAJIO,31.6441273,-106.4063465,
CL?NICA GRUPO HOSPITAL DE ESPECIALIDADES,31.73369227,-106.4059921,
CLINICA HOSPITAL ISSTE GUANAJUATO,23.23298151,-106.4058407,
CL?NICA HOSPITAL ISSTE IRAPUATO,31.66704755,-106.4038377,
CLINICA HOSPITAL SAN SEBASTIAN,23.23977231,-106.4018673,
CLINICA MEDICO QUIR?RGICA SAN JOSE,31.59452507,-106.3987854,
CLINICA MEDICOS ASOCIADOS,31.71314901,-106.3928893,
CLINICA SAGRADO CORAZON,31.63745992,-106.3906397,
CLINICA SAGRADO CORAZON DE JESUS,23.24113859,-106.3904433,
CLINICA SAGRADO CORAZON DE JESUS,23.24610635,-106.387635,
CLINICA SAN ?NGEL,31.61838945,-106.383824,
CL?NICA SAN FERM?N,31.64653305,-106.3825571,
CLINICA SAN FRANCISCO DE ASIS,31.69340183,-106.381526,
CL?NICA SAN JOS?,31.71061308,-106.3774031,
CLINICA SAN JUAN,31.71079179,-106.3771072,
CLINICA SAN JUAN Y UNIDAD DE IMAGEN,31.69410208,-106.3738753,
CLINICA SANTA ISABEL,31.54336201,-106.372914,
CL?NICA SASHIDA,31.54344152,-106.3727544,
CLINICA VICSAN,23.23905494,-106.3702114,
CLINICA Y FARMACIA SANTA ELVIRA,31.63198438,-106.3641411,
CMQ HOSPITAL LEON,31.64688791,-106.3564401,
CONSULTORIO MEDICO SIN NOMBRE,31.64911614,-106.3558994,
CRISTUS MUGUERZA MURANO,31.55412849,-106.3455006,
CRUZ ROJA MEXICANA,31.61993648,-106.3449616,
CRUZ ROJA MEXICANA DELEGACION SALAMANCA,31.61170104,-106.3343704,
ESTACIONAMIENTO DEL HOSPITAL DR RAUL HERNANDEZ,27.31965655,-106.2964892,
GINECOLOGIA,23.18929736,-106.2137128,
"H HOSPITAL REGIONAL SALAMANCA, GTO",23.24700572,-106.2006959,
HOSPITAL ANGELES LEON,28.71781213,-106.1403551,
HOSPITAL ARANDA DE LA PARRA,28.66445706,-106.1298934,
HOSPITAL ARBOLEDAS,28.65910775,-106.1292179,
HOSPITAL CAISES MOROLEON,28.67054231,-106.1283345,
HOSPITAL CENTRO DE DIAGNOSTICO INTEGRAL,28.69716793,-106.1268228,
HOSPITAL CIUDAD MEDICA,28.63115658,-106.1220308,
HOSPITAL COMUNITACIO LAS JOYAS,28.65174914,-106.115181,
HOSPITAL COMUNITARIO APASEO EL ALTO,28.6958121,-106.1092586,
HOSPITAL COMUNITARIO CORTAZAR,28.65858194,-106.1082819,
"HOSPITAL COMUNITARIO DE JARAL DEL PROGRESO, GUANAJUATO",27.95553124,-106.1068801,
HOSPITAL COMUNITARIO DE ROMITA,31.38889513,-106.10394,
HOSPITAL COMUNITARIO DE SAN FRANCISCO DEL RINCON GUANAJUATO,28.60312104,-106.1038922,
HOSPITAL COMUNITARIO DE SANTA CRUZ DE JUVENTINO ROSAS,28.67572398,-106.1035953,
HOSPITAL COMUNITARIO DEL BICENTENARIO DE ABASOLO,28.60401781,-106.100505,
HOSPITAL COMUNITARIO JERECUARO,28.5770033,-106.1000004,
HOSPITAL COMUNITARIO PURISIMA DE BUSTOS,28.66049076,-106.095989,
HOSPITAL COMUNITARIO SAN DIEGO DE LA UNI?N,28.65205548,-106.0939968,
HOSPITAL COMUNITARIO SAN FELIPE,28.64210223,-106.0894174,
HOSPITAL COMUNITARIO TARIMORO,28.65402259,-106.0887054,
HOSPITAL COMUNITARIO VILLAGRAN,28.61857425,-106.0885297,
HOSPITAL COMUNITARIO YURIRIA,28.64559161,-106.0882651,
HOSPITAL DE CARDIOLOGIA LOS ANGELES,28.64640507,-106.0875928,
HOSPITAL DE CASA,28.67031274,-106.0853068,
HOSPITAL DE ESPECIALIDADES CABEZA DE VACA,28.64748676,-106.0849216,
HOSPITAL DE ESPECIALIDADES PEDIATRICO DE LEON,28.64824139,-106.0848867,
HOSPITAL DEL ANGEL,28.61952993,-106.0795249,
HOSPITAL DEL SEGURO SOCIAL,28.63189198,-106.0789309,
HOSPITAL DR RAUL HERNANDEZ,28.64297687,-106.0788175,
HOSPITAL GENERAL  SAN LUIS DE LA PAZ,28.63312857,-106.0776087,
HOSPITAL GENERAL DE SALAMANCA,28.65651112,-106.0772507,
HOSPITAL GENERAL DE SAN JOSE ITURBIDE,28.62973292,-106.0753527,
HOSPITAL GENERAL DE SUBZONA CON MEDICINA FAMILIAR NO 20,28.63296687,-106.0722609,
HOSPITAL GENERAL DE ZONA CON M. F. NO 21,28.63043986,-106.0722371,
HOSPITAL GENERAL DE ZONA NO. 2 Y MEDICINA FAMILIAR,28.63621594,-106.0714993,
HOSPITAL GENERAL FELIPE G. DOBARGANES,28.63543015,-106.0714587,
HOSPITAL GENERAL GUANAJUATO,28.64897463,-106.0706584,
HOSPITAL GENERAL IRAPUATO,23.28793019,-106.0700801,
HOSPITAL GENERAL LEON,23.28511668,-106.0672131,
HOSPITAL GENERAL PENJAMO,23.28516604,-106.0668702,
HOSPITAL GENERAL REGIONAL NUMERO 58 IMSS,28.64413949,-106.0649096,
HOSPITAL GENERAL VALLE DE SANTIAGO GUANAJUATO,28.61430824,-106.0624432,
HOSPITAL GENERALES DEL SECTOR PUBLICO SIN NOMBRE,28.64499625,-106.037306,
HOSPITAL GENOVA DE IRAPUATO,28.62728969,-106.0310446,
HOSPITAL GINECO OBSTETRICIA 48,28.63076236,-106.0028303,
HOSPITAL GUADALUPANO,24.10521242,-105.9298863,
HOSPITAL INSURGENTES DE IRAPUATO,28.82981407,-105.9217259,
HOSPITAL LA CLEMENCIA,28.83805062,-105.9129208,
HOSPITAL LA LUZ,28.84048226,-105.9108049,
HOSPITAL LOS ALAMOS,22.99390068,-105.8608653,
HOSPITAL MAC SAN MIGUEL DE ALLENDE,22.99526468,-105.8559432,
HOSPITAL MATERNO CELAYA,26.86422509,-105.8507467,
HOSPITAL MATERNO INFANTIL,26.87021432,-105.8447607,
HOSPITAL MATERNO INFANTIL,22.73105203,-105.8416072,
HOSPITAL MEDICA BRISAS,22.83472466,-105.7680342,
HOSPITAL MEDICA INSURGENTES,22.83764935,-105.7650276,
HOSPITAL MEDICA NORTE,25.3406152,-105.725409,
HOSPITAL M?DICA PONIENTE,25.34180835,-105.7208445,
HOSPITAL MEDICA ROMITA,26.94874644,-105.7165129,
HOSPITAL MEDICA SUR DE URIANGATO,26.92902473,-105.6714594,
HOSPITAL RAMIREZ GUADIANA,26.92245296,-105.6661509,
HOSPITAL REGIONAL,26.93243537,-105.6583987,
HOSPITAL REGIONAL CELAYA,26.93105991,-105.6553907,
HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DEL BAJIO,26.92855849,-105.6508165,
HOSPITAL REGIONAL DE LEON,20.780963,-105.529675,
HOSPITAL REGIONAL SALAMANCA DE PETROLEOS MEXICANOS,28.18875299,-105.4865834,
HOSPITAL SAN ANGEL,28.19394211,-105.4805298,
HOSPITAL SAN GABRIEL,28.19493812,-105.4786812,
HOSPITAL SAN JOSE,28.19501034,-105.4769627,
HOSPITAL SAN JOSE DE CELAYA,28.19602267,-105.4754583,
HOSPITAL SAN JOSE DE LAS PILETAS,28.17870145,-105.4731753,
HOSPITAL SIENA,28.19863439,-105.4720854,
HOSPITAL SIENA,28.19941182,-105.4700799,
HOSPITAL VILLAS DEL CAMPESTRE,28.1934635,-105.4665365,
HOSPITAL VILLAS DEL CENTRO,22.40959487,-105.4510067,
HOSPITALES DEL SECTOR PRIVADO DE OTRAS ESPECIALIDADES M?DICAS SIN NOMBRE,20.86659261,-105.4336159,
HOSPITALES MAC IRAPUATO,28.42408548,-105.4240057,
HOSPITALES PSIQUI?TRICOS Y PARA EL TRATAMIENTO POR ADICCI?N DEL SECTOR PRIVADO SIN NOMBRE,25.04344969,-105.42267,
HOSPITALITO DE FATIMA,25.0447539,-105.4217817,
HOSPITALIZACI?N PISO 3 Y 2,25.04560398,-105.420289,
IMSS,20.90091276,-105.4104827,
IMSS,26.93349288,-105.393677,
IMSS,26.40435007,-105.3809136,
IMSS  INSTITUTO MEXICANO DEL SEGURO SOCIAL .,22.48928051,-105.3694093,
IMSS INSTITUTO MEXICANO DEL SEGURO SOCIAL,22.48967424,-105.3680266,
IMSS UNIDAD MEDICA FAMILIAR 49,25.95634448,-105.3666242,
INSTITUTO DE SALUD PUBLICA DEL ESTADO DE GUANAJUATO,22.48951958,-105.3625751,
INSTITUTO DE SEGURIDAD Y SERVICIO SOCIAL DEL TRABAJADOR DEL ESTADO,23.78008293,-105.3619511,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,23.78182865,-105.3594352,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,22.50002707,-105.3586692,
INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE TRABAJADORES DEL ESTADO DE SAN MIGUEL DE ALLENDE,23.78833291,-105.3477505,
INSTITUTO DEL SERVICIO SOCIAL PARA LOS TRABAJADORES DEL ESTADO,20.75326077,-105.3312899,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,22.63737757,-105.321613,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,21.94607504,-105.311651,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,20.74660612,-105.2985883,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,28.02869803,-105.2944695,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,28.03499045,-105.2932514,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,28.03504215,-105.2925053,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,21.94214415,-105.29127,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,20.73200072,-105.2869659,
INSTITUTO MEXICANO DEL SEGURO SOCIAL ACAMBARO,21.93885985,-105.2848261,
INSTITUTO MEXICANO DEL SEGURO SOCIAL HGZ4,21.93890406,-105.2848131,
INSTITUTO MEXICANO DEL SEGURO SOCIAL UMF 22,21.53127696,-105.2841165,
MATERNIDAD SANTA MARIA MEDICO GENERAL,20.72963921,-105.2820882,
MEDHICA HOSPITAL SANTA FE,20.74512375,-105.2558981,
MEDICA CAMPESTRE,20.74561321,-105.2556586,
MEDICA EMPRESARIAL,19.93871621,-105.2505071,
MEDICA MADIEL,19.94325359,-105.2504555,
MEDICINA DE URGENCIAS Y MEDICINA CRITICA Y TERAPIA INTENSIVA,20.67251639,-105.2504509,
MEDICO CARDIOLOGO CLINICA SAN ISIDRO,20.67160813,-105.2495314,
MEDIKA MORALES,19.9371673,-105.2479219,
MERCY HEART HOSPITAL DE CARDIOLOGIA MHH0611071N3,21.04020841,-105.2476394,
OFICINAS DE HOSPITAL SIENA,20.66203807,-105.2444285,
PEDIAYTRIA NEUROLOGIA PEDIATRICA,20.65229261,-105.240429,
POLICLINICA DE ESPECIALIDADES,20.60212746,-105.2334554,
POLICLINICA DE ESPECIALIDADES MEDICAS,20.63753866,-105.2321057,
ROMITA CAISES,20.64050772,-105.2318998,
SAGRADO CORAZON,20.6125667,-105.2305655,
SANATORIO CELAYA,20.62572469,-105.2298675,
SANATORIO CH?VEZ,20.62605872,-105.2298011,
SANATORIO DE ESPECIALIDADES LA SOLEDAD,20.63418239,-105.2282148,
SANATORIO DE JESUS,20.63655009,-105.2277009,
SANATORIO DE JES?S,20.774311,-105.2273826,
SANATORIO DE LA VIRGEN DEL RAYO,20.62718497,-105.2228984,
SANATORIO DE URGENCIAS M?DICAS DR GILBERTO VAZQUEZ ESP?NOLA,20.64686156,-105.2210359,
SANATORIO DOCTOR GUSTAVO CABRERA,20.64677701,-105.2203907,
SANATORIO GUADALUPANO,20.64702862,-105.2201121,
SANATORIO GUADALUPANO DE CELAY HOSPITAL GUSADALUPANO,20.64703887,-105.2201098,
SANATORIO GUADALUPE,20.65222513,-105.2150555,
SANATORIO LOS ANGELES,20.65261538,-105.2104143,
SANATORIO MEDICO LEON SUR,20.669709,-105.210341,
SANATORIO MODERNO PABLO ANDA,22.11509693,-105.2094934,
SANATORIO MODERNO PABLO DE ANDA,21.81229246,-105.2088518,
SANATORIO RAZO,20.67544667,-105.2049093,
SANATORIO SAGRADO CORAZON,21.81271892,-105.1998019,
SANATORIO SAGRADO CORAZ?N DE JES?S,20.81859269,-105.1881787,
SANATORIO SAN DIEGO,20.8185832,-105.1876451,
SANATORIO SAN FRANCISCO DE ASIS,21.48970317,-105.1820593,
SANATORIO SAN FRANCISCO DE LEON,27.69308096,-105.1759467,
SANATORIO SAN JAVIER,27.69367122,-105.1754445,
SANATORIO SAN JOSE,27.6947945,-105.1753533,
SANATORIO SAN JOSE,21.55808153,-105.1693013,
SANATORIO SAN JOSE,27.66125203,-105.1664311,
SANATORIO SANTA FE,27.68059119,-105.1644268,
SANATORIO SANTA MARIA,21.95066311,-105.1468299,
SANATORIO SANTA MARTHA,21.17764384,-105.1413833,
SANATORIO SANTA TERESA DE IRAPUATO,21.17683189,-105.1389486,
SANATORIO VILLAGR?N,21.18894934,-105.1345528,
SANATORIO Y FARMACIA VASCO DE QUIROGA,20.53913789,-105.1326405,
SECRETARIA DE SALUD,19.59010598,-105.1284482,
SERVICIOS MEDICOS DEL LLANO,21.28018755,-105.105273,
SIEM,21.04794003,-105.1022141,
SISTEMA DE URGENCIAS DEL ESTADO DE GUANAJUATO,29.4571019,-105.0920714,
UMAPS,19.57773573,-105.0860688,
UMAPS COLONIAS NUEVO MEXICO,24.88734643,-105.0660991,
UMAPS DEL CARMEN,19.44290169,-105.0253227,
UMAPS DEL POTRERO,21.50819123,-104.9218284,
UMAPS EMPALME ESCOBEDO,27.13187699,-104.9200347,
UMAPS LAZARO CARDENAS,27.12738737,-104.9186839,
UMAPS LOMA DORADA,21.51781754,-104.9154631,
UMAPS NEUTLA,27.13475782,-104.9124523,
UMAPS PLAN DE GUANAJUATO,21.51454611,-104.9103088,
UMAPS PUENTECILLAS,21.50535291,-104.9097529,
UMAPS ROQUE,21.50535291,-104.9097529,
UMAPS SAN CRISTOBAL EL CERRITO,21.50535291,-104.9097529,
UMAPS SAN NICOLAS,21.50504039,-104.9018375,
UMAPS SAN NICOLAS DE LOS AGUSTINOS,21.23832396,-104.9015615,
UMAPS SANTA FE,21.50699775,-104.9007398,
UMAPS SANTA ROSA PLAN DE AYALA,21.50148582,-104.9004804,
UMAQS MEXICANOS,21.50095907,-104.8994051,
UMATS COLONIAS NUEVO MEXICO,21.51223457,-104.8993711,
UNEME ENFERMEDADES CR?NICAS DE CELAYA,21.50084029,-104.8988124,
UNIDAD DE ATENCION IMSS COMONFORT,21.50112588,-104.8987037,
UNIDAD DE MEDICA FAMILIAR ISSTE,21.5020592,-104.8979369,
UNIDAD DE MEDICINA FAMILIAR CON HOSPITAL N?MERO 6,21.50129701,-104.8975163,
UNIDAD DE MEDICINA PREVENTIVA EN EL TRANSPORTE,21.49928343,-104.8974708,
UNIDAD MEDICA,21.5014832,-104.897333,
UNIDAD MEDICA DE ALTA ESPECIALIDAD,21.50224013,-104.8955157,
UNIDAD MEDICA DE ASISTENCIA PREVEETIVA DE SALUD. UMAPS BECERRO,21.49522616,-104.8941877,
UNIDAD MEDICA DE ATENCION DE PRIMARIA A LA SALUD,21.24056471,-104.8909553,
UNIDAD MEDICA DE ATENCI?N PRIMAR?A A LA SALUD,21.51096367,-104.8903242,
UNIDAD MEDICA DE ATENCION PRIMARIA A LA SALUD,21.48764673,-104.8879196,
UNIDAD MEDICA DE ATENCION PRIMARIA A LA SALUD DOCTOR MORA,21.49339585,-104.8867141,
UNIDAD MEDICA DE ATENCION PRIMARIA A LA SALUD SAN JOSE DE CEMENTOS,21.48164194,-104.8713771,
UNIDAD MEDICA DE ATENCION PRIMARIA A LA SALUD SANTA ANA DEL CONDE,21.48059446,-104.850225,
UNIDAD MEDICA DE ATENCION PRIMARIA DE SALUD,20.76117431,-104.8501259,
UNIDAD MEDICA DE ATENCION PRIMARIA DE SALUD SANTIAGO DE CUENDA,21.48060658,-104.8500739,
UNIDAD M?DICA DE ATENCI?N PRIMARIA EN SALUD DE F?BRICA DE MELCHOR,21.44987997,-104.8128065,
UNIDAD M?DICA DE ATENCI?N PRIMARIA PARA LA SALUD,20.52968441,-104.7976633,
UNIDAD MEDICA DE ATENCION PRIMARIA UMAPS OCAMPO,20.52337554,-104.7791031,
UNIDAD MEDICA DE ATENCI?N PRIMARIO DE LA SALUD JUAN MART?N,24.52639481,-104.775054,
UNIDAD MEDICA LA FAMILIA,19.2232614,-104.7024475,
UNIDAD MEDICA MANRIQUE,19.2232614,-104.7024475,
UNIDAD MEDICO DE ATENCION PRIMARIA DE LA SALUD U.M.A.P.S BAJIO DE BONILLAS,24.01012207,-104.6929681,
UNIMED HEALTH SYSTEM,24.01854441,-104.6875732,
URGENCIA CLINICA MEDICA SANTE,24.02892363,-104.6818498,
URGENCIAS M?DICO QUIR?RG?CAS,24.02524301,-104.6799584,
VIDA INSTITUTO DE CIENCIAS,24.04096162,-104.6795864,
ADMINISTRACION DE LA TORREMEDICA METEPEC,24.02798933,-104.6761216,
ALFA MEDIC CLINICA DE ESPECIALIDADES,24.02766308,-104.6760359,
ALFA MEDICA,24.03325717,-104.6731663,
APEC ARAGON,24.02170584,-104.6712538,
APEC CUAUTITLAN IZCALLI,24.0190643,-104.6662048,
APEC LAS AMERICAS,24.03514311,-104.6632639,
APEC LAS FLORES,24.02452808,-104.6628344,
APEC VALLE DORADO,24.03519181,-104.6625903,
BEGUSA ESPECIALIDADES MEDICAS,24.02555326,-104.6619214,
C0NSLTORIO SAN GASPAR,24.0272946,-104.6581632,
CAPASITS NEZAHUALCOYOTL,24.02117358,-104.6572424,
CDC DE SANTA CRUZ,24.03191017,-104.6561315,
CDC ? UNIDAD PERIFERICO DEL JARALDIF ATIZAPAN DE ZARAGOZA,24.01847382,-104.6542843,
CEAPS,24.02175469,-104.6529564,
CEAPS ALBORADA JALTENCO FRANCISCO ZARCO,24.02799869,-104.652912,
CEAPS CENTRO ESPECIALIZADO EN ATENCION PRIMARIA A LA SALUD,24.0279441,-104.6519926,
